date,aapl,amzn,goog,tsla
20210331,122.150002,3094.080078,2068.629883,667.929993
20210401,123.000000,3161.000000,2137.750000,661.750000
20210405,125.900002,3226.729980,2225.550049,691.049988
20210406,126.209999,3223.820068,2224.750000,691.619995
20210407,127.900002,3279.389893,2249.679932,670.969971
20210408,130.360001,3299.300049,2265.439941,683.799988
20210409,133.000000,3372.199951,2285.879883,677.020020
20210412,131.240005,3379.389893,2254.790039,701.979980
20210413,134.429993,3400.000000,2267.270020,762.320007
20210414,132.029999,3333.000000,2254.840088,732.229980
20210415,134.500000,3379.090088,2296.659912,738.849976
20210416,134.160004,3399.439941,2297.760010,739.780029
20210419,134.839996,3372.010010,2302.399902,714.630005
20210420,133.110001,3334.689941,2293.629883,718.989990
20210421,133.500000,3362.020020,2293.290039,744.119995
20210422,131.940002,3309.040039,2267.919922,719.690002
20210423,134.320007,3340.879883,2315.300049,729.400024
20210426,134.720001,3409.000000,2326.739990,738.200012
20210427,134.389999,3417.429932,2307.120117,704.739990
20210428,133.580002,3458.500000,2379.909912,694.400024
20210429,133.479996,3471.310059,2429.889893,677.000000
20210430,131.460007,3467.419922,2410.120117,709.440002
20210503,132.539993,3386.489990,2395.169922,684.900024
20210504,127.849998,3311.870117,2354.250000,673.599976
20210505,128.100006,3270.540039,2356.739990,670.940002
20210506,129.740005,3306.370117,2381.350098,663.539978
20210507,130.210007,3291.610107,2398.689941,672.369995
20210510,126.849998,3190.489990,2341.659912,629.039978
20210511,125.910004,3223.909912,2308.760010,617.200012
20210512,122.769997,3151.939941,2239.080078,589.890015
20210513,124.970001,3161.469971,2261.969971,571.690002
20210514,127.449997,3222.899902,2316.159912,589.739990
20210517,126.269997,3270.389893,2321.409912,576.830017
20210518,124.849998,3232.280029,2303.429932,577.869995
20210519,124.690002,3231.800049,2308.709961,563.460022
20210520,127.309998,3247.679932,2356.090088,586.780029
20210521,125.430000,3203.080078,2345.100098,580.880005
20210524,127.099998,3244.989990,2406.669922,606.440002
20210525,126.900002,3259.050049,2409.070068,604.690002
20210526,126.849998,3265.159912,2433.530029,619.130005
20210527,125.279999,3230.110107,2402.510010,630.849976
20210528,124.610001,3223.070068,2411.560059,625.219971
20210601,124.279999,3218.649902,2429.810059,623.900024
20210602,125.059998,3233.989990,2421.280029,605.119995
20210603,123.540001,3187.010010,2404.610107,572.840027
20210604,125.889999,3206.219971,2451.760010,599.049988
20210607,125.900002,3198.010010,2466.090088,605.130005
20210608,126.739998,3264.110107,2482.850098,603.590027
20210609,127.129997,3281.149902,2491.399902,598.780029
20210610,126.110001,3349.649902,2521.600098,610.119995
20210611,127.349998,3346.830078,2513.929932,609.890015
20210614,130.479996,3383.870117,2527.040039,617.690002
20210615,129.639999,3383.129883,2520.659912,599.359985
